website,title,street address,phone,link,location
"https://www.facebook.com/Assemblyservice?utm_source=localsaver,https://www.facebook.com/Assemblyservice?utm_source=localsaver",javon handyman & assembly service,,"(347) 820-1927,(347) 820-1927",https://www.localsaver.com/10001/javon-handyman-assembly-service?dsc=MYDS&bizid=52026797,
"https://seowebdesigners.net/ny/?utm_source=localsaver,https://seowebdesigners.net/ny/?utm_source=localsaver",New York SEO | SEO Web Designers,"244 5th Ave, Ste K256","(718) 395-3971,(718) 395-3971",https://www.localsaver.com/10001/new-york-seo-seo-web-designers?dsc=MYDS&bizid=52022499,New York
,Jonny's Panini NYC,423 9th Ave,"(646) 484-5733,(646) 484-5733",https://www.localsaver.com/10001/jonny-s-panini-nyc?dsc=RSTRT&bizid=251217,New York
"http://PMTGM.COM?utm_source=localsaver,http://PMTGM.COM?utm_source=localsaver",PMT GROUP MARKETING LLC,244 5TH AVE STE w270,"(855) 366-0126,(855) 366-0126",https://www.localsaver.com/10001/pmt-group-marketing-llc?dsc=MYDS&bizid=52013249,New York
"http://idi.co?utm_source=localsaver,http://idi.co?utm_source=localsaver",International Development Institute,,"(212) 594-1917,(212) 594-1917",https://www.localsaver.com/10001/international-development-institute?dsc=MYDS&bizid=52007834,
,grandmas hands family day care,415 w. 25 street,"(212) 741-1611,(212) 741-1611",https://www.localsaver.com/10001/grandmas-hands-family-day-care?dsc=MYDS&bizid=52010905,New York
,CAFE NUNEZ,240 W. 35th St,"(212) 564-7444,(212) 564-7444",https://www.localsaver.com/10001/cafe-nunez?dsc=RSTRT&bizid=50806,New York
,Paul's Dancing Cafe,22 W 34th St,"(212) 307-1111,(212) 307-1111",https://www.localsaver.com/10001/paul-s-dancing-cafe?dsc=RSTRT&bizid=242846,New York
,O Cabanon,245 W 29th Street Between 7th and 8th Avenue,"(646) 669-7879,(646) 669-7879",https://www.localsaver.com/10001/o-cabanon?dsc=RSTRT&bizid=198787,New York
"http://www.yourtruepsychic.com?utm_source=localsaver,http://www.yourtruepsychic.com?utm_source=localsaver",Psychic Advisor Olivia,,"(212) 222-0132,(212) 222-0132",https://www.localsaver.com/10001/psychic-advisor-olivia?dsc=MYDS&bizid=52000810,
"http://www.swanandyoga.com?utm_source=localsaver,http://www.swanandyoga.com?utm_source=localsaver",Swanand Yoga,"171 W 29th Street, 3rd Floor","(212) 502-4181,(212) 502-4181",https://www.localsaver.com/10001/swanand-yoga?dsc=BDSP&bizid=12559053,New York
"http://hhdancejunkies.tumblr.com?utm_source=localsaver,http://hhdancejunkies.tumblr.com?utm_source=localsaver",Hip Hop Dance Junkies,500 8th Avenue,"(917) 238-7736,(917) 238-7736",https://www.localsaver.com/10001/hip-hop-dance-junkies?dsc=BDSP&bizid=12558512,New York
"http://www.bodyplusmindnyc.com?utm_source=localsaver,http://www.bodyplusmindnyc.com?utm_source=localsaver",Body + Mind NYC,"251 West 30th St., Ste 9FW","(917) 474-9394,(917) 474-9394",https://www.localsaver.com/10001/body-mind-nyc?dsc=BDSP&bizid=12558963,New York
"http://www.tqspa.com/?utm_source=localsaver,http://www.tqspa.com/?utm_source=localsaver",TQ Spa,"37 W 26th Street, Suite 332","(212) 460-2563,(212) 460-2563",https://www.localsaver.com/10001/tq-spa?dsc=BDSP&bizid=12558752,New York
,1742 Wine Bar,1742 2nd Avenue,"(212) 427-1010,(212) 427-1010",https://www.localsaver.com/10001/1742-wine-bar?dsc=RSTRT&bizid=151005,New York
,Khao Thai Kitchen,235 Sullivan St,"(646) 726-4418,(646) 726-4418",https://www.localsaver.com/10001/khao-thai-kitchen?dsc=RSTRT&bizid=274959,New York
,The Stand NYC,239 3rd Ave,"(212) 677-2600,(212) 677-2600",https://www.localsaver.com/10001/the-stand-nyc?dsc=RSTRT&bizid=199316,New York
,Basera,745 9th Avenue,"(212) 757-9787,(212) 757-9787",https://www.localsaver.com/10001/basera?dsc=RSTRT&bizid=36052,New York
,ONEGIN,391 Sixth Avenue,"(212) 924-8001,(212) 924-8001",https://www.localsaver.com/10001/onegin?dsc=RSTRT&bizid=149672,New York
,Korchma Taras Bulba,,,https://www.localsaver.com/10001/korchma-taras-bulba?dsc=RSTRT&bizid=299709,New York
,ODA HOUSE,76 Ave B,"(212) 353-3838,(212) 353-3838",https://www.localsaver.com/10001/oda-house?dsc=RSTRT&bizid=234746,New York
,Big Nick's,70 W 71st Street,"(212) 799-4444,(212) 799-4444",https://www.localsaver.com/10001/big-nick-s?dsc=RSTRT&bizid=1680,New York
,Sashimi Express,354 East 78th Street,"(929) 231-9376,(929) 231-9376",https://www.localsaver.com/10001/sashimi-express?dsc=MYDS&bizid=52049942,New York
,Indigo Indian Bistro,,,https://www.localsaver.com/10001/indigo-indian-bistro?dsc=RSTRT&bizid=9725,New York
"http://irepaircrackedscreens.com/?utm_source=localsaver,http://irepaircrackedscreens.com/?utm_source=localsaver",I Repair Cracked Screens,14 Wall St #2051,"(212) 843-9492,(212) 843-9492",https://www.localsaver.com/10001/i-repair-cracked-screens?dsc=MYDS&bizid=52071328,New York
"http://fabishairstudio.com?utm_source=localsaver,http://fabishairstudio.com?utm_source=localsaver",Fabi's Hair Studio,655 2nd Ave,"(212) 213-3400,(212) 213-3400",https://www.localsaver.com/10001/fabi-s-hair-studio?dsc=BDSP&bizid=12558887,Manhattan
,Bella Vita Pizzeria,158 West 58 Street,"(212) 664-7670,(212) 664-7670",https://www.localsaver.com/10001/bella-vita-pizzeria?dsc=RSTRT&bizid=216848,New York
"http://www.wirelesssolutionsny.com/?utm_source=localsaver,http://www.wirelesssolutionsny.com/?utm_source=localsaver",The Mobile Shop,228 A Columbus Ave,"(212) 300-7939,(212) 300-7939",https://www.localsaver.com/10001/the-mobile-shop?dsc=BDSP&bizid=12585286,New York
"http://kidsncomedy.com?utm_source=localsaver,http://kidsncomedy.com?utm_source=localsaver",Gotham Comedy Club • Kids 'N Comedy,208 W 23rd St,"(212) 877-6115,(212) 877-6115",https://www.localsaver.com/10001/gotham-comedy-club-kids-n-comedy?dsc=BDSP&bizid=12647734,New York
,LA CARAFE,653 9th Ave,"(212) 333-5300,(212) 333-5300",https://www.localsaver.com/10001/la-carafe?dsc=RSTRT&bizid=53543,New York
,Verde On Smith,216 Smith St.,"(718) 222-1525,(718) 222-1525",https://www.localsaver.com/10001/verde-on-smith?dsc=RSTRT&bizid=49199,Brooklyn
,Pulse Karaoke,135 W 41st Street,"(212) 278-0090,(212) 278-0090",https://www.localsaver.com/10001/pulse-karaoke?dsc=RSTRT&bizid=58399,New York
"https://www.valpak.com/coupons/printable/its-not-a-pain/166626?addressId=247669&vpref=localsaver-syn&utm_source=localsaver,https://www.valpak.com/coupons/printable/its-not-a-pain/166626?addressId=247669&vpref=localsaver-syn&utm_source=localsaver",It's Not A Pain,244 5th Ave,"(212) 726-1268,(212) 726-1268",https://www.localsaver.com/10001/it-39-s-not-a-pain?dsc=VALPK&bizid=247669,New York
"https://www.trustpharma.com/purchase/generic-allegra.asp?utm_source=localsaver,https://www.trustpharma.com/purchase/generic-allegra.asp?utm_source=localsaver",TrustPharma- Online generic drug store,,"(888) 958-5519,(888) 958-5519",https://www.localsaver.com/10001/trustpharma-online-generic-drug-store?dsc=MYDS&bizid=52094777,
"http://www.medstorerx.com/penegra.aspx?utm_source=localsaver,http://www.medstorerx.com/penegra.aspx?utm_source=localsaver",MedStoreRx- Online Generic Medicines Pharmacy,,"(806) 576-3579,(806) 576-3579",https://www.localsaver.com/10001/medstorerx-online-generic-medicines-pharmacy?dsc=MYDS&bizid=52094772,
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fkrav-maga-experts%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fkrav-maga-experts%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver",Krav Maga Experts,99 University Place,"(212) 400-4813,(212) 400-4813",https://www.localsaver.com/10001/krav-maga-experts?dsc=GPNDL&bizid=99F2A8107D36BDC0DECA584FB70100AA,New York
"https://www.sportspainmanagementnyc.com/?utm_source=localsaver,https://www.sportspainmanagementnyc.com/?utm_source=localsaver",Sports injury clinic nyc,"36 West 44th Street, Ste 1100","(212) 621-7746,(212) 621-7746",https://www.localsaver.com/10001/sports-injury-clinic-nyc?dsc=MYDS&bizid=52091741,New York
"https://www.footdoctorpodiatristnyc.com/?utm_source=localsaver,https://www.footdoctorpodiatristnyc.com/?utm_source=localsaver",Manhattan Foot Specialists NYC,"51 East 25th Street, Ste 409","(212) 389-9918,(212) 389-9918",https://www.localsaver.com/10001/manhattan-foot-specialists-nyc?dsc=MYDS&bizid=52091762,New York
"https://www.manhattandermatologistsnyc.com/?utm_source=localsaver,https://www.manhattandermatologistsnyc.com/?utm_source=localsaver",Manhattan Dermatology Specialists NYC,"51 East 25th Street, Ste 411","(212) 889-2402,(212) 889-2402",https://www.localsaver.com/10001/manhattan-dermatology-specialists-nyc?dsc=MYDS&bizid=52091751,New York
"https://www.obgynecologistnyc.com?utm_source=localsaver,https://www.obgynecologistnyc.com?utm_source=localsaver",Manhattan Women's Health & Wellness NYC,"51 East 25th Street Ste 403,","(212) 533-4575,(212) 533-4575",https://www.localsaver.com/10001/manhattan-women-s-health-wellness-nyc?dsc=MYDS&bizid=52091665,New York
"http://freeofpain.org?utm_source=localsaver,http://freeofpain.org?utm_source=localsaver",Cortisone Injection,"825 7th Ave, #2","(917) 341-2128,(917) 341-2128",https://www.localsaver.com/10001/cortisone-injection?dsc=MYDS&bizid=52091946,New York
"https://sleepsia.com/?utm_source=localsaver,https://sleepsia.com/?utm_source=localsaver",Bamboo Pillow - Sleepsia LLC,"600 3rd Avenue, FL 2","(800) 862-1084,(800) 862-1084",https://www.localsaver.com/10001/bamboo-pillow-sleepsia-llc?dsc=MYDS&bizid=52093675,New York
"http://carinsurancequotes.agency/nyc/?utm_source=localsaver,http://carinsurancequotes.agency/nyc/?utm_source=localsaver",Cheap Auto Insurances New York,347 5th Ave # 1402-606,"(646) 681-7396,(646) 681-7396",https://www.localsaver.com/10001/cheap-auto-insurances-new-york?dsc=MYDS&bizid=52088091,New York
"http://mountainpharmacies.com?utm_source=localsaver,http://mountainpharmacies.com?utm_source=localsaver",mountainpharmacy,"446 W 34th St, New York, NY 10001","(904) 686-8791,(904) 686-8791",https://www.localsaver.com/10001/mountainpharmacy?dsc=MYDS&bizid=52084752,New York
"http://nycorientalrugcare.com/other-area-rugs?utm_source=localsaver,http://nycorientalrugcare.com/other-area-rugs?utm_source=localsaver",Area Rug Cleaning Manhattan,,"(646) 465-7703,(646) 465-7703",https://www.localsaver.com/10001/area-rug-cleaning-manhattan?dsc=MYDS&bizid=52084843,
"http://www.lecharmefleur.com?utm_source=localsaver,http://www.lecharmefleur.com?utm_source=localsaver",Best Online Flower Delivery,"477 Madison Ave, suite 75A","(347) 560-5952,(347) 560-5952",https://www.localsaver.com/10001/best-online-flower-delivery?dsc=MYDS&bizid=52092104,New York
,Alice's Arbor,549 Classic Ave at Fulton,"(718) 399-3003,(718) 399-3003",https://www.localsaver.com/10001/alice-s-arbor?dsc=RSTRT&bizid=204063,Brooklyn
,Aleo,7 West 20th St.,"(212) 691-8136,(212) 691-8136",https://www.localsaver.com/10001/aleo?dsc=RSTRT&bizid=4634,New York
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fmuseum-of-the-american-gangster-1%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fmuseum-of-the-american-gangster-1%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver",Museum of The American Gangster,80 St. Marks Pl (between 2nd Ave & 1st Ave),"(212) 228-5736,(212) 228-5736",https://www.localsaver.com/10001/museum-of-the-american-gangster?dsc=GPNDL&bizid=3BE966D19B5966CCD690225BBE653A6C,New York
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fwildman-steve-brill-1-5%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fwildman-steve-brill-1-5%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver",Wildman Steve Brill,Central Park,,https://www.localsaver.com/10001/wildman-steve-brill?dsc=GPNDL&bizid=1A750F3CEA50B7664F406EA3BA11DD11,New York
"http://americasholisticdoctor.com?utm_source=localsaver,http://americasholisticdoctor.com?utm_source=localsaver",America’s Holistic Doctor,,"(559) 490-9550,(559) 490-9550",https://www.localsaver.com/10001/america-s-holistic-doctor?dsc=MYDS&bizid=52073953,
,Indigo Indian Bistro,283 Columbus Ave,"(212) 579-3900,(212) 579-3900",https://www.localsaver.com/10001/indigo-indian-bistro?dsc=RSTRT&bizid=243663,New York
,Jersey Meatball Co,7409 Broadway,"(201) 758-8900,(201) 758-8900",https://www.localsaver.com/10001/jersey-meatball-co?dsc=RSTRT&bizid=217589,North Bergen
,ANATOLIA MEDITERRAINIAN CUISINE,401 East 62nd St,"(212) 223-7500,(212) 223-7500",https://www.localsaver.com/10001/anatolia-mediterrainian-cuisine?dsc=RSTRT&bizid=55755,New York
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fgl-stand-up-ny-4-11%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fgl-stand-up-ny-4-11%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver",Stand Up NY,236 W 78th St.,"(212) 595-0850,(212) 595-0850",https://www.localsaver.com/10001/stand-up-ny?dsc=GPNDL&bizid=011BAF5C66C97890831177460D67FFF4,New York
"https://www.bidsquare.com?utm_source=localsaver,https://www.bidsquare.com?utm_source=localsaver",Bidsquare,"1412 Broadway, 21st FL","(800) 657-0092,(800) 657-0092",https://www.localsaver.com/10001/bidsquare?dsc=MYDS&bizid=52072152,New York
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fbeacon-paint-hardware%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fbeacon-paint-hardware%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver",Beacon Paint & Hardware,371 Amsterdam Ave.,"(212) 787-1090,(212) 787-1090",https://www.localsaver.com/10001/beacon-paint-hardware?dsc=GPNDL&bizid=69D86C52B303D43AEBD622B5B10B42C1,New York
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Flelabar-2%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Flelabar-2%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver",Lelabar,422 Hudson St,"(212) 206-0594,(212) 206-0594",https://www.localsaver.com/10001/lelabar?dsc=GPNDL&bizid=81846C452675B79EA633B8CC836E90B9,New York
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fval-el-salon-and-spa-10%3Fz%3Dskip%26utm_medium%3Dafl%26utm_source%3DGPN%26utm_campaign%3D201747%26mediaId%3D212556&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fval-el-salon-and-spa-10%3Fz%3Dskip%26utm_medium%3Dafl%26utm_source%3DGPN%26utm_campaign%3D201747%26mediaId%3D212556&utm_source=localsaver",Val El Salon and Spa,1291 1st Ave,"(164) 636-0377,(164) 636-0377",https://www.localsaver.com/10001/val-el-salon-and-spa?dsc=GPNDL&bizid=A20682D526409EDDC27C2B14BB739CBF,New York
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Feats-on-lex-6%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Feats-on-lex-6%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver",Eats on Lex,1055 Lexington Ave,"(212) 396-3287,(212) 396-3287",https://www.localsaver.com/10001/eats-on-lex?dsc=GPNDL&bizid=972775B291F868A157E89548F7F6E6CC,Manhattan
"https://www.periony.com?utm_source=localsaver,https://www.periony.com?utm_source=localsaver",Manhattan Periodontics & Implant Dentistry,"121 East 60th St, Ste 6C1","(212) 644-4477,(212) 644-4477",https://www.localsaver.com/10001/manhattan-periodontics-implant-dentistry?dsc=MYDS&bizid=52074225,New York
"https://www.aestheticwellnessnyc.com?utm_source=localsaver,https://www.aestheticwellnessnyc.com?utm_source=localsaver",Radiance Aesthetics & Wellness,635 Madison Ave #407,"(212) 752-5745,(212) 752-5745",https://www.localsaver.com/10001/radiance-aesthetics-wellness?dsc=MYDS&bizid=52074237,New York
"http://ny-carpetcleaning-nyc.com?utm_source=localsaver,http://ny-carpetcleaning-nyc.com?utm_source=localsaver",NY-CarpetCleaning-NYC,127 E 73rd St,"(212) 731-4610,(212) 731-4610",https://www.localsaver.com/10001/ny-carpetcleaning-nyc?dsc=MYDS&bizid=52003706,New York
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fmimo-lash-and-skin-2%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fmimo-lash-and-skin-2%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver",Mimo Lash and Skin,230 Willow Avenue,"(201) 653-5501,(201) 653-5501",https://www.localsaver.com/10001/mimo-lash-and-skin?dsc=GPNDL&bizid=818B16216B6C0D341AF18A77DD2C5AE2,Hoboken
"https://www.pilawyersnyc.com/?utm_source=localsaver,https://www.pilawyersnyc.com/?utm_source=localsaver","Lurie, Ilchert, MacDonnell & Ryan LLP","475 Park Avenue South, Suite 2800","(646) 461-4009,(646) 461-4009",https://www.localsaver.com/10001/lurie-ilchert-macdonnell-ryan-llp?dsc=MYDS&bizid=52071421,New York
"https://www.nycdentalimplantscenter.com?utm_source=localsaver,https://www.nycdentalimplantscenter.com?utm_source=localsaver",NYC Dental Implants Center,"121 East 60th St, Ste 6C2","(212) 256-0000,(212) 256-0000",https://www.localsaver.com/10001/nyc-dental-implants-center?dsc=MYDS&bizid=52074222,New York
"http://ny-carpetcleaning-nyc.com?utm_source=localsaver,http://ny-carpetcleaning-nyc.com?utm_source=localsaver",NY-CarpetCleaning-NYC,127 E 73rd St,"(212) 731-4610,(212) 731-4610",https://www.localsaver.com/10001/ny-carpetcleaning-nyc?dsc=MYDS&bizid=52010024,New York
"https://americanhvacrny.wixsite.com/americanhvacrllc?utm_source=localsaver,https://americanhvacrny.wixsite.com/americanhvacrllc?utm_source=localsaver","American HVACR LLC-Best Air Conditioning,Heating & HVAC Company","348 West 57th Street,Shop No 307,","(718) 913-5466,(718) 913-5466",https://www.localsaver.com/10001/american-hvacr-llc-best-air-conditioning-heating-hvac-company?dsc=MYDS&bizid=52071893,New York
,Prestige Barbers New York,Serving,"(212) 257-8222,(212) 257-8222",https://www.localsaver.com/10001/prestige-barbers-new-york?dsc=MYDS&bizid=52085746,New York
,8th Wonder Juice Bar,370 2nd Ave.,"(646) 861-3929,(646) 861-3929",https://www.localsaver.com/10001/8th-wonder-juice-bar?dsc=RSTRT&bizid=256266,New York
"https://www.valpak.com/coupons/printable/tsigonia-paint-hardware/91213?addressId=247477&vpref=localsaver-syn&utm_source=localsaver,https://www.valpak.com/coupons/printable/tsigonia-paint-hardware/91213?addressId=247477&vpref=localsaver-syn&utm_source=localsaver",Tsigonia Paint & Hardware,711 23rd St,"(201) 348-8400,(201) 348-8400",https://www.localsaver.com/10001/tsigonia-paint-38-hardware?dsc=VALPK&bizid=247477,Union City
"https://www.valpak.com/coupons/printable/dr-sandler/158910?addressId=239333&vpref=localsaver-syn&utm_source=localsaver,https://www.valpak.com/coupons/printable/dr-sandler/158910?addressId=239333&vpref=localsaver-syn&utm_source=localsaver",Dr. Sandler,"225 E 70th St, c o eastside dental","(212) 517-4660,(212) 517-4660",https://www.localsaver.com/10001/dr-sandler?dsc=VALPK&bizid=239333,New York
,Pain  Petrychenko,Serving,"(566) 564-6677,(566) 564-6677",https://www.localsaver.com/10001/pain-petrychenko?dsc=MYDS&bizid=52087008,New York
"http://grupoguzman.net?utm_source=localsaver,http://grupoguzman.net?utm_source=localsaver",Grupo Guzman LLC,,"(201) 467-4860,(201) 467-4860",https://www.localsaver.com/10001/grupo-guzman-llc?dsc=MYDS&bizid=52084463,
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fny-sun-club-upper-east-side-3%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fny-sun-club-upper-east-side-3%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver",NY Sun Club,1461 3rd Ave,"(212) 776-1000,(212) 776-1000",https://www.localsaver.com/10001/ny-sun-club?dsc=GPNDL&bizid=41E455BA9B3FD0DE09645A244E5A7DCB,New York
,Notaro Ristorante,635 2nd Avenue,"(212) 686-3400,(212) 686-3400",https://www.localsaver.com/10001/notaro-ristorante?dsc=RSTRT&bizid=24351,New York
"http://www.fourthwallevents.com?utm_source=localsaver,http://www.fourthwallevents.com?utm_source=localsaver",Fourth Wall Events,"209 W. 40th St, Suite 201","(212) 316-0052,(212) 316-0052",https://www.localsaver.com/10001/fourth-wall-events?dsc=MYDS&bizid=52069253,New York
,Burrito Joint,,,https://www.localsaver.com/10001/burrito-joint?dsc=RSTRT&bizid=299305,Union City
